,FIPS,Date,Confirmed,Deaths,New Cases,New Deaths,"Cases, 7DMA","Deaths, 7DMA","New Cases Per 100k, 7DMA",Deaths Per 100k
1724,31141,2020-09-08,921,3,20,0,7,0,21,9
1725,31143,2020-09-08,35,1,1,0,0,0,0,19
1726,31145,2020-09-08,20,0,0,0,0,0,0,0
1727,31147,2020-09-08,38,1,0,0,0,0,0,13
1728,31149,2020-09-08,19,0,0,0,1,0,74,0
1729,31151,2020-09-08,648,2,2,0,2,0,14,14
1730,31153,2020-09-08,2986,15,28,0,18,0,10,8
1731,31155,2020-09-08,274,2,14,0,5,0,23,9
1732,31157,2020-09-08,378,6,4,0,2,0,6,17
1733,31159,2020-09-08,177,2,4,0,2,0,12,12
1734,31161,2020-09-08,34,0,3,0,1,0,19,0
1735,31163,2020-09-08,18,1,0,0,0,0,0,33
1736,31165,2020-09-08,6,0,0,0,0,0,0,0
1737,31167,2020-09-08,34,0,0,0,0,0,0,0
1738,31169,2020-09-08,28,0,1,0,0,0,0,0
1739,31171,2020-09-08,5,0,0,0,0,0,0,0
1740,31173,2020-09-08,239,4,3,0,2,0,28,55
1741,31175,2020-09-08,20,0,0,0,0,0,0,0
1742,31177,2020-09-08,180,1,0,0,1,0,5,5
1743,31179,2020-09-08,60,0,4,0,1,0,11,0
1744,31181,2020-09-08,14,0,0,0,0,0,0,0
1745,31183,2020-09-08,2,0,1,0,0,0,0,0
1746,31185,2020-09-08,123,0,3,0,1,0,7,0
1747,32001,2020-09-08,113,1,0,0,0,0,0,4
1748,32003,2020-09-08,61543,1206,67,0,261,10,12,53
1749,32005,2020-09-08,261,1,0,0,1,0,2,2
1750,32007,2020-09-08,862,5,-1,0,7,0,13,9
1751,32009,2020-09-08,0,0,0,0,0,0,0,0
1752,32011,2020-09-08,10,0,0,0,1,0,49,0
1753,32013,2020-09-08,116,4,0,0,1,0,6,24
1754,32015,2020-09-08,65,1,0,0,1,0,18,18
1755,32017,2020-09-08,6,0,0,0,0,0,0,0
1756,32019,2020-09-08,361,6,0,0,4,0,7,10
1757,32021,2020-09-08,12,0,0,0,0,0,0,0
1758,32023,2020-09-08,482,14,0,0,2,0,4,30
1759,32027,2020-09-08,21,0,1,0,0,0,0,0
